2021-08-04 08:50:08 [main] INFO  c.a.n.controller.HelloControllerTest - Starting HelloControllerTest using Java 15.0.2 on Pushkars-MacBook-Air.local with PID 3343 (started by pushkarchauhan91 in /Users/pushkarchauhan91/Documents/workspace_sts/workspace_test/parent/java/version/backend/apps/appnumber)
2021-08-04 08:50:09 [main] INFO  c.a.n.controller.HelloControllerTest - No active profile set, falling back to default profiles: default
2021-08-04 08:50:10 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-08-04 08:50:12 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1344 ms. Found 0 JPA repository interfaces.
2021-08-04 08:50:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2021-08-04 08:50:13 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-04 08:50:13 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-08-04 08:50:13 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-08-04 08:50:13 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4417 ms
2021-08-04 08:50:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-08-04 08:50:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-08-04 08:50:15 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-08-04 08:50:15 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-08-04 08:50:15 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-08-04 08:50:16 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-08-04 08:50:16 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-08-04 08:50:16 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-08-04 08:50:16 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.config.number.NumberConfig.url_appnumber_config_reverse
2021-08-04 08:50:16 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.config.number.NumberConfig.url_appnumber_lib_reverse
2021-08-04 08:50:16 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.config.number.NumberConfig.url_appnumber_service_reverse
2021-08-04 08:50:16 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.config.number.NumberConfig.url_appnumber_util_reverse
